Outlet_ID,mean_volume,max_volume,std_volume,total_volume,months_active,mean_bill,max_bill,cooler_count,outlet_size,outlet_type,distributor,latitude,longitude,peak_month_volume,consistency_score
OUT_00001,61.253415761974765,378.75274761160176,76.94518439218093,14149.53904101617,231,16515.18521786291,63605.1060309998,1,Medium,Grocery,DIST_W_03,7.089846,79.979055,1941.4700014761206,0.30434782608695654
OUT_00002,66.68792299048953,415.95090333857286,84.66748107175592,16005.101517717485,240,18034.653101126103,58144.60805902897,0,Small,Hotel,DIST_W_02,7.000558,80.012422,1668.4198072724294,0.38461538461538464
OUT_00003,56.23592765846155,353.33159687247826,68.56921475253101,13384.150782713848,238,16609.387989780273,65248.13334502628,1,Small,Pharmacy,DIST_W_02,6.80617,79.854547,1790.8517259599382,0.34615384615384615
OUT_00004,66.1190325738174,389.4008979231016,81.21812852069577,17455.424599487797,264,17368.621368538687,67567.7062513838,2,Medium,Pharmacy,DIST_W_01,6.703533,79.806919,1682.090300234845,0.35714285714285715
OUT_00005,61.57378598146256,401.16888760880016,80.29351181269867,15024.003779476863,244,17055.36038037006,66768.14415581101,2,Medium,Kiosk,DIST_W_03,7.186878,79.869831,1815.7207970660115,0.4444444444444444
OUT_00006,67.84940390243268,418.2721320788466,87.92735008699768,14044.826607803567,207,17304.875338921298,60657.63483865661,1,Medium,Kiosk,DIST_W_02,6.957117,79.977724,1559.2046589518075,0.34782608695652173
OUT_00007,63.32130747633068,410.8428536374146,80.18289510897539,13804.045029840088,218,16919.436932804303,69031.12178292473,4,Large,Hotel,DIST_W_03,6.92525,79.803979,2100.2055215172672,0.375
OUT_00008,59.45242610777482,403.7891141296337,71.81988319927942,13555.153152572659,228,17572.9532955847,60709.4381968034,3,Extra Large,Eatery,DIST_W_01,6.852307,79.829302,1672.9984760328575,0.36
OUT_00009,63.56927910507436,428.92907163114216,79.88964966363704,14239.518519536656,224,17105.40167497936,65370.01439457056,2,Medium,Hotel,DIST_W_03,7.116597,79.852009,1817.0550959079228,0.44
OUT_00010,58.68397360435527,352.9852096427318,69.95603415543899,14964.413269110595,255,16823.8468758607,54865.97137149796,0,Small,Eatery,DIST_W_01,6.912578,79.862382,1886.504494397222,0.2857142857142857
OUT_00011,60.54256991673393,389.1913938136708,74.3285483311973,15196.185049100217,251,17470.32095295649,59825.57256800379,1,Small,Grocery,DIST_W_02,7.169749,80.068448,1779.0414077671294,0.34615384615384615
OUT_00012,62.32393581115868,405.8615160132211,81.95525260540455,15767.955760223145,253,16735.142762155327,58697.19408755815,1,Medium,Pharmacy,DIST_W_02,6.797991,79.813568,1332.6850139074409,0.41379310344827586
OUT_00013,63.53440194850788,365.36713099744986,79.65258884249833,15121.187663744875,238,16771.25974937796,70545.96481770679,0,Small,Hotel,DIST_W_01,6.993376,80.089577,818.670200651385,0.5333333333333333
OUT_00014,67.34994435281358,427.9485238657608,86.35547267319981,16500.736366439327,245,16873.922426919617,58352.4802874829,1,Small,Grocery,DIST_W_01,6.707818,79.92702,928.0914173773191,0.5806451612903226
