Outlet_ID,Year,Month,Distributor_ID,SKU_ID,Volume_Liters,Total_Bill_Value,rejection_reason
OUT_19987,2024,12,DIST_S_02,SKU_07,-20.97522261545517,-13633.905372676802,zero_or_negative_volume
OUT_14664,2025,4,DIST_NW_01,SKU_02,-142.66237109624393,-36141.10743771544,zero_or_negative_volume
OUT_13596,2023,6,DIST_NW_02,SKU_05,-72.33638536313663,-6510.268246003639,zero_or_negative_volume
OUT_10231,2025,2,DIST_C_03,SKU_05,-64.16553952078387,-5774.896514313908,zero_or_negative_volume
OUT_17901,2024,7,DIST_S_01,SKU_08,-6.00637464495142,-2642.768002054568,zero_or_negative_volume
OUT_16990,2024,2,DIST_NW_01,SKU_04,-48.16716788631389,-15654.295884250618,zero_or_negative_volume
OUT_14981,2023,8,DIST_NW_01,SKU_10,-19.292824038448067,-7123.48159133034,zero_or_negative_volume
OUT_17208,2023,4,DIST_S_02,SKU_05,-90.313230864371,-8128.19293033194,zero_or_negative_volume
OUT_13324,2024,6,DIST_NW_02,SKU_04,-9.309313409493612,-3025.5360134549624,zero_or_negative_volume
OUT_02956,2023,7,DIST_W_02,SKU_08,-33.40243896597676,-14697.091952633858,zero_or_negative_volume
OUT_09644,2024,2,DIST_C_01,SKU_10,-3.7354623288150703,-1379.2052378130163,zero_or_negative_volume
OUT_10635,2023,1,DIST_C_01,SKU_10,-4.126454041387895,-1523.6473403130935,zero_or_negative_volume
OUT_04280,2024,2,DIST_W_02,SKU_10,-7.204768998428933,-2660.202861283228,zero_or_negative_volume
OUT_12140,2024,4,DIST_C_02,SKU_02,-29.340923152874563,-7433.070840977125,zero_or_negative_volume
OUT_12601,2023,2,DIST_C_02,SKU_08,-5.804334276787905,-2553.863538457871,zero_or_negative_volume
OUT_08380,2023,3,DIST_W_02,SKU_03,-10.703745883275689,-3746.346285421466,zero_or_negative_volume
OUT_15047,2023,6,DIST_NW_02,SKU_07,-106.6162696363696,-69300.56187602837,zero_or_negative_volume
OUT_04185,2025,4,DIST_W_01,SKU_09,-8.859455207478975,-19490.79242669269,zero_or_negative_volume
OUT_19437,2023,12,DIST_S_01,SKU_03,-15.21803400373684,-5326.344904122302,zero_or_negative_volume
OUT_15063,2025,6,DIST_NW_01,SKU_03,-25.77979687715121,-9022.88208734203,zero_or_negative_volume
OUT_13931,2023,4,DIST_NW_01,SKU_08,-18.436650994760047,-8112.128474846457,zero_or_negative_volume
OUT_17838,2024,2,DIST_S_02,SKU_02,-146.74768103099058,-37176.08817615544,zero_or_negative_volume
OUT_12354,2023,12,DIST_C_02,SKU_05,-17.561978037028545,-1580.538590202588,zero_or_negative_volume
OUT_17926,2023,1,DIST_S_01,SKU_06,-195.7538019697336,-16443.3055277106,zero_or_negative_volume
OUT_10581,2024,10,DIST_C_03,SKU_08,-15.13238444197343,-6658.221838360835,zero_or_negative_volume
OUT_16551,2025,12,DIST_NW_01,SKU_02,-54.246169487544215,-13742.39769189325,zero_or_negative_volume
OUT_06550,2025,11,DIST_W_02,SKU_08,-13.960920978754755,-6142.792820761249,zero_or_negative_volume
OUT_02072,2023,2,DIST_W_02,SKU_07,-72.07653560126438,-46849.70286077215,zero_or_negative_volume
OUT_16279,2023,10,DIST_NW_01,SKU_06,-119.54049212390052,-10041.402330894787,zero_or_negative_volume
OUT_03330,2024,5,DIST_W_02,SKU_06,-397.9350135535184,-33426.50266030958,zero_or_negative_volume
OUT_15212,2025,6,DIST_NW_02,SKU_03,-20.070486614688896,-7024.716277608684,zero_or_negative_volume
OUT_13822,2025,2,DIST_NW_02,SKU_05,-12.03276884805914,-1082.9837262601525,zero_or_negative_volume
OUT_14208,2024,10,DIST_NW_02,SKU_05,-129.59105257553048,-11663.15763464763,zero_or_negative_volume
OUT_08736,2025,11,DIST_W_01,SKU_10,-18.244393518691023,-6736.388596514222,zero_or_negative_volume
OUT_07815,2023,5,DIST_W_02,SKU_04,-28.550239700080432,-9278.78731750836,zero_or_negative_volume
OUT_15238,2023,7,DIST_NW_02,SKU_10,-41.51775757191409,-15329.665699447372,zero_or_negative_volume
OUT_07262,2023,6,DIST_W_03,SKU_02,-23.58107434503873,-5973.853273366711,zero_or_negative_volume
OUT_02758,2025,9,DIST_W_02,SKU_04,-49.43867692524582,-16067.596475899862,zero_or_negative_volume
OUT_11275,2025,8,DIST_C_01,SKU_08,-7.741905211215882,-3406.4257375468555,zero_or_negative_volume
OUT_07860,2024,9,DIST_W_02,SKU_05,-25.06174415973369,-2255.5640857084304,zero_or_negative_volume
OUT_11454,2023,11,DIST_C_02,SKU_02,-40.59654888358972,-10284.425511243096,zero_or_negative_volume
OUT_18823,2025,7,DIST_S_01,SKU_05,-23.61868324292464,-2125.653261643864,zero_or_negative_volume
OUT_08300,2023,11,DIST_W_01,SKU_02,-29.549227248950515,-7485.766426217161,zero_or_negative_volume
OUT_07671,2025,3,DIST_W_02,SKU_01,-30.671286882833208,-9201.403493857357,zero_or_negative_volume
OUT_17771,2023,2,DIST_S_01,SKU_02,-45.76124864343394,-11592.806477617743,zero_or_negative_volume
OUT_15878,2024,12,DIST_NW_02,SKU_10,-8.888244379924318,-3281.792280905176,zero_or_negative_volume
OUT_08131,2025,11,DIST_W_02,SKU_05,-59.67541476956837,-5370.818559708138,zero_or_negative_volume
OUT_18388,2024,10,DIST_S_01,SKU_05,-12.92708007117036,-1163.4068836721772,zero_or_negative_volume
OUT_16115,2024,11,DIST_NW_02,SKU_08,-7.27222700587607,-3199.793176694818,zero_or_negative_volume
OUT_15717,2023,5,DIST_NW_02,SKU_05,-107.8959451169521,-9710.618445360156,zero_or_negative_volume
OUT_11524,2024,5,DIST_C_01,SKU_02,-16.930009899550814,-4288.910607452476,zero_or_negative_volume
OUT_15420,2025,11,DIST_NW_01,SKU_04,-8.105561062755356,-2634.282988603735,zero_or_negative_volume
OUT_03207,2023,11,DIST_W_01,SKU_02,-17.518280145989245,-4437.995178667958,zero_or_negative_volume
OUT_02591,2025,9,DIST_W_03,SKU_03,-25.29921635758205,-8854.7052260417,zero_or_negative_volume
OUT_16802,2023,2,DIST_NW_01,SKU_09,-2.79753774400248,-6154.60300554816,zero_or_negative_volume
OUT_12742,2024,10,DIST_C_02,SKU_09,-32.33937755596731,-71146.64377138394,zero_or_negative_volume
OUT_09436,2025,12,DIST_C_01,SKU_09,-8.548077558087675,-18805.81822849722,zero_or_negative_volume
OUT_19634,2024,9,DIST_S_01,SKU_06,-636.5242414868507,-53468.017760904266,zero_or_negative_volume
OUT_07600,2025,10,DIST_W_03,SKU_06,-304.6891465231471,-25593.861504959263,zero_or_negative_volume
OUT_06509,2025,12,DIST_W_01,SKU_01,-16.357271993569615,-4907.1886896473625,zero_or_negative_volume
OUT_00815,2024,1,DIST_W_01,SKU_04,-49.07506257640792,-15949.38956660408,zero_or_negative_volume
OUT_09043,2025,4,DIST_C_01,SKU_02,-130.5349735662288,-33068.82773241728,zero_or_negative_volume
OUT_12459,2023,6,DIST_C_02,SKU_07,-20.630541928399342,-13409.878083614978,zero_or_negative_volume
OUT_12372,2024,7,DIST_C_03,SKU_08,-56.27104730833943,-24759.27717125842,zero_or_negative_volume
OUT_16848,2025,2,DIST_NW_02,SKU_09,-24.51473746019565,-53932.4470192436,zero_or_negative_volume
OUT_04860,2025,12,DIST_W_03,SKU_01,-18.6713175608044,-5601.374368036152,zero_or_negative_volume
OUT_14714,2023,6,DIST_NW_02,SKU_06,-125.07821515573052,-10506.521041723588,zero_or_negative_volume
OUT_00190,2024,9,DIST_W_03,SKU_10,-19.206957087864,-7091.799789474627,zero_or_negative_volume
